0.006	-0.12
0.008	-0.12
0.01	-0.12
0.012	-0.12
0.014	-0.115
0.016	-0.115
0.018	-0.115
0.02	-0.11
0.022	-0.11
0.024	-0.11
0.026	-0.11
0.028	-0.105
0.03	-0.105
0.032	-0.105
0.034	-0.105
0.036	-0.1
0.038	-0.1
0.04	-0.1
0.042	-0.1
0.044	-0.1
0.046	-0.1
0.048	-0.1
0.05	-0.1
0.052	-0.1
0.054	-0.095
0.056	-0.095
0.058	-0.095
0.06	-0.095
0.062	-0.09
0.064	-0.09
0.066	-0.09
0.068	-0.09
0.07	-0.085
0.072	-0.085
0.074	-0.085
0.076	-0.085
0.078	-0.085
0.08	-0.08
0.082	-0.08
0.084	-0.075
0.086	-0.07
0.088	-0.07
0.09	-0.065
0.092	-0.065
0.094	-0.06
0.096	-0.06
0.098	-0.06
0.1	-0.06
0.102	-0.065
0.104	-0.065
0.106	-0.06
0.108	-0.06
0.11	-0.055
0.112	-0.05
0.114	-0.05
0.116	-0.045
0.118	-0.04
0.12	-0.035
0.122	-0.03
0.124	-0.025
0.126	-0.02
0.128	-0.01
0.13	-0.005
0.132	0.005
0.134	0.01
0.136	0.02
0.138	0.025
0.14	0.025
0.142	0.03
0.144	0.03
0.146	0.03
0.148	0.035
0.15	0.035
0.152	0.04
0.154	0.045
0.156	0.055
0.158	0.065
0.16	0.075
0.162	0.085
0.164	0.095
0.166	0.1
0.168	0.105
0.17	0.11
0.172	0.115
0.174	0.12
0.176	0.125
0.178	0.125
0.18	0.125
0.182	0.125
0.184	0.125
0.186	0.12
0.188	0.12
0.19	0.115
0.192	0.11
0.194	0.105
0.196	0.105
0.198	0.1
0.2	0.1
0.202	0.1
0.204	0.1
0.206	0.095
0.208	0.09
0.21	0.085
0.212	0.075
0.214	0.065
0.216	0.05
0.218	0.04
0.22	0.025
0.222	0.015
0.224	0.01
0.226	0.0
0.228	-0.005
0.23	-0.01
0.232	-0.015
0.234	-0.02
0.236	-0.025
0.238	-0.035
0.24	-0.045
0.242	-0.055
0.244	-0.06
0.246	-0.065
0.248	-0.065
0.25	-0.06
0.252	-0.05
0.254	-0.035
0.256	-0.015
0.258	0.0
0.26	0.015
0.262	0.025
0.264	0.03
0.266	0.035
0.268	0.035
0.27	0.03
0.272	0.025
0.274	0.025
0.276	0.025
0.278	0.025
0.28	0.03
0.282	0.03
0.284	0.035
0.286	0.04
0.288	0.045
0.29	0.05
0.292	0.05
0.294	0.05
0.296	0.05
0.298	0.055
0.3	0.055
0.302	0.06
0.304	0.06
0.306	0.065
0.308	0.065
0.31	0.07
0.312	0.07
0.314	0.07
0.316	0.07
0.318	0.07
0.32	0.065
0.322	0.065
0.324	0.065
0.326	0.06
0.328	0.06
0.33	0.06
0.332	0.065
0.334	0.065
0.336	0.07
0.338	0.07
0.34	0.07
0.342	0.075
0.344	0.075
0.346	0.075
0.348	0.075
0.35	0.07
0.352	0.07
0.354	0.07
0.356	0.07
0.358	0.065
0.36	0.065
0.362	0.065
0.364	0.065
0.366	0.065
0.368	0.065
0.37	0.06
0.372	0.06
0.374	0.06
0.376	0.065
0.378	0.065
0.38	0.065
0.382	0.07
0.384	0.07
0.386	0.075
0.388	0.075
0.39	0.075
0.392	0.075
0.394	0.07
0.396	0.07
0.398	0.065
0.4	0.065
0.402	0.06
0.404	0.055
0.406	0.055
0.408	0.055
0.41	0.05
0.412	0.05
0.414	0.05
0.416	0.05
0.418	0.05
0.42	0.045
0.422	0.045
0.424	0.045
0.426	0.04
0.428	0.035
0.43	0.035
0.432	0.03
0.434	0.03
0.436	0.025
0.438	0.025
0.44	0.03
0.442	0.03
0.444	0.035
0.446	0.04
0.448	0.045
0.45	0.045
0.452	0.045
0.454	0.045
0.456	0.045
0.458	0.045
0.46	0.045
0.462	0.045
0.464	0.05
0.466	0.05
0.468	0.05
0.47	0.05
0.472	0.045
0.474	0.04
0.476	0.035
0.478	0.03
0.48	0.02
0.482	0.02
0.484	0.02
0.486	0.02
0.488	0.025
0.49	0.035
0.492	0.04
0.494	0.04
0.496	0.045
0.498	0.045
0.5	0.04
0.502	0.035
0.504	0.03
0.506	0.025
0.508	0.025
0.51	0.03
0.512	0.03
0.514	0.035
0.516	0.045
0.518	0.05
0.52	0.055
0.522	0.06
0.524	0.06
0.526	0.06
0.528	0.065
0.53	0.06
0.532	0.06
0.534	0.06
0.536	0.055
0.538	0.055
0.54	0.05
0.542	0.045
0.544	0.045
0.546	0.04
0.548	0.045
0.55	0.05
0.552	0.055
0.554	0.06
0.556	0.07
0.558	0.075
0.56	0.08
0.562	0.085
0.564	0.08
0.566	0.075
0.568	0.07
0.57	0.065
0.572	0.055
0.574	0.05
0.576	0.045
0.578	0.04
0.58	0.04
0.582	0.035
0.584	0.03
0.586	0.02
0.588	0.015
0.59	0.01
0.592	0.01
0.594	0.005
0.596	0.005
0.598	0.01
0.6	0.015
0.602	0.015
0.604	0.02
0.606	0.02
0.608	0.02
0.61	0.02
0.612	0.02
0.614	0.015
0.616	0.015
0.618	0.015
0.62	0.01
0.622	0.01
0.624	0.005
0.626	0.005
0.628	0.0
0.63	-0.005
0.632	-0.01
0.634	-0.01
0.636	-0.01
0.638	-0.01
0.64	-0.01
0.642	-0.01
0.644	-0.01
0.646	-0.01
